                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.39801,                0.57883,                 1.1094,                0.87957,                0.82454,                0.92237,                0.87145,                0.32182,                0.50682,                 0.9674,               0.003367,               0.003367,               0.003367
                     69,                0.39953,                0.57439,                 1.1126,                0.87633,                0.81659,                0.91533,                 0.8678,                0.32305,                0.52597,                0.97198,               0.003268,               0.003268,               0.003268
                     70,                0.39019,                0.55777,                 1.0989,                0.85047,                0.85639,                0.90969,                0.86633,                0.31957,                0.50707,                0.95864,               0.003169,               0.003169,               0.003169
                     71,                0.38224,                0.54959,                 1.0949,                0.85442,                0.87516,                0.92841,                0.88454,                0.30729,                0.49807,                0.94968,                0.00307,                0.00307,                0.00307
                     72,                0.39943,                0.56487,                 1.1127,                 0.8642,                0.83007,                0.92308,                0.87744,                0.31842,                0.50903,                0.95209,               0.002971,               0.002971,               0.002971
                     73,                  0.397,                0.55154,                 1.1056,                0.87096,                0.83476,                0.92448,                0.87992,                0.30698,                 0.4967,                0.94152,               0.002872,               0.002872,               0.002872
                     74,                0.37398,                0.54785,                 1.0905,                0.85992,                0.86558,                0.93087,                0.88612,                0.31698,                0.49012,                0.95925,               0.002773,               0.002773,               0.002773
                     75,                 0.3866,                0.54938,                 1.1003,                0.87762,                0.86162,                0.93218,                0.88703,                0.30824,                0.46644,                0.94344,               0.002674,               0.002674,               0.002674
                     76,                0.39824,                0.55098,                 1.1069,                0.89229,                0.85326,                0.92836,                0.88618,                0.30422,                0.47984,                0.94239,               0.002575,               0.002575,               0.002575
                     77,                0.39032,                0.53002,                 1.1131,                0.90619,                0.81932,                 0.9257,                0.88121,                0.31655,                0.49099,                0.95423,               0.002476,               0.002476,               0.002476
                     78,                0.37392,                0.51273,                 1.0924,                0.88497,                0.83976,                0.92747,                0.88568,                0.31196,                0.48512,                0.94345,               0.002377,               0.002377,               0.002377
                     79,                0.39254,                0.53453,                 1.1054,                0.86488,                0.86272,                0.93272,                0.88827,                0.30859,                0.46377,                0.94778,               0.002278,               0.002278,               0.002278
                     80,                0.37913,                0.52427,                 1.0974,                 0.8727,                0.84796,                 0.9271,                0.88068,                0.31362,                0.47992,                0.95657,               0.002179,               0.002179,               0.002179
                     81,                0.37506,                 0.5159,                 1.0881,                0.89253,                0.84551,                0.94226,                 0.9008,                0.30712,                0.43805,                0.93951,                0.00208,                0.00208,                0.00208
                     82,                0.37174,                0.49182,                 1.0913,                0.91003,                0.86333,                0.93819,                0.89567,                0.30248,                0.44535,                 0.9386,               0.001981,               0.001981,               0.001981
                     83,                0.37133,                0.49894,                 1.0851,                0.91763,                0.85964,                0.94318,                0.90517,                0.29331,                0.44903,                0.92638,               0.001882,               0.001882,               0.001882
                     84,                 0.3755,                0.48973,                 1.0856,                0.90575,                0.85449,                0.93958,                0.90055,                0.29277,                0.44406,                0.92805,               0.001783,               0.001783,               0.001783
